date,time,tide,air_temp,water_temp_padaro,water_temp_channel,surf_height,wind_spd,sky,beaufort,vis,detection,transect_small,transect_large,transect_total,manual_small,manual_large,manual_unique,manual_total,small_unique,large_unique,total_unique,transect_method,first,airdata,video,notes,individual_identifiers,small_7_day,large_7_day,total_7_day,transect_datetime,transect_area_m2,transect_duration_sec,manual_datetime,manual_area_m2,manual_duration_sec,To be annotated,Annotated
7/6/2020,,,,,,,,,1,4,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,HAT,Y,Y,,,0,0.1428571429,0.1428571429,2020-07-06_09-28-06,172406.568,608.8990189,2020-07-06_09-51-11,406594.8,1130.776,,
7/7/2020,,,,,,,,,1,4,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,haphazard,Y,Y,,,0,0.1428571429,0.1428571429,2020-07-07_09-27-24,172439.0277,657.3170291,2020-07-07_09-09-20,324448,939.1623,,
7/8/2020,,,,,,,,,1,4,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,HAT,Y,Y,,,0,0.1428571429,0.1428571429,2020-07-08_08-42-00,172428.3765,610.7139913,2020-07-08_09-01-48,354809.2,1093.036,,
7/9/2020,,,,,,,,,0,3,Y,0,0,0,1,0,1,,1,0,1,20kmh_40m,HAT,Y,Y,,,0.1428571429,0,0.1428571429,2020-07-09_08-58-00,172424.7315,608.5010355,2020-07-09_09-44-37,259071,989.9354,,
7/13/2020,,,,,,,,Partly Cloudy,1,4,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,HAT,Y,Y,,,0.1428571429,0,0.1428571429,2020-07-13_10-03-05,172397.2865,608.59247,2020-07-13_10-20-14,405098.8,1146.987,,
7/14/2020,,,,,,,,Sunny,3,4,Y,0,1,1,0,0,0,0,0,1,1,20kmh_40m,HAT,Y,N,"forget to push ""record"" on haphazard flight. so only manual review conducted during flight - no sharks observed during haphazard survey. 1 shark observed during transect survey as detected at the last transect position - so after transect flight was terminated ~1min of film was collected at 20m of the shark before recalling the drone. This 20m filming did not occur during part of the haphazard survey",tag (CSULB?),0.1428571429,0.1428571429,0.2857142857,2020-07-14_17-12-02,173748.4025,647.6740965,,,,,
7/15/2020,,,,,,,,Overcast,1,3,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,haphazard,Y,N,SD card filled up on second (farther out from beach) transect. Haphazard and inner transect filmed and recorded. No sharks visually observed when flying outer transect,,0.1428571429,0.1428571429,0.2857142857,2020-07-15_09-56-40,172974.152,616.545307,2020-07-15_09-05-34,336065,1098.693,,
7/16/2020,,,,,,,,Sunny,2,4,Y,0,0,0,0,1,1,,0,1,1,20kmh_40m,HAT,Y,Y,many bat rays visible,,0.1428571429,0.2857142857,0.4285714286,2020-07-16_16-30-52,172426.0637,634.7322657,2020-07-16_16-48-58,365439.5,905.5082,,
7/17/2020,,,,,,,,Sunny,3,4,Y,1,1,2,0,0,0,0,1,1,2,20kmh_40m,haphazard,N,Y,"note ipdad/litchi crashed before start of flight and resumed before flight. Shark observed during transit to start of first leg of transect survey. Filmed in this ""outside of surevy locations"" folder. This was the first day these folders were created and first instance of this type of observation. Shark was near a bat ray and appeared to be in search mode. The same shark was observed and counted during the first transect flight. Based on difference of  location a second shark was observed farther out on the second transect",,0.2857142857,0.4285714286,0.7142857143,2020-07-17_17-30-47,173735.0142,633.4154552,2020-07-17_17-10-04,354464,917.012,,
7/20/2020,,,,,,,,Sunny,1,4,Y,0,0,0,1,0,1,,1,0,1,20kmh_40m,HAT,Y,Y,"note ipdad/litchi crashed before at start of 2nd transect leg. Shark observed in the non-recorded small leg between end of first and start of second transect. Footage entered in ""outside of survey"" folder. This shark was not observed in the area of the actual surveys. This same shark was observed during the start of the haphazard flight and recorded at 20m",,0.4285714286,0.4285714286,0.8571428571,,,,2020-07-20_10-13-01,278030.7,1002.218,,
7/21/2020,,,,,,,,Sunny,3,4,Y,2,7,9,2,6,8,12,3,7,10,20kmh_40m,HAT,N,Y,litchi crashes. double-counts very likely in haphazard due to high density,,0.7142857143,1.428571429,2.142857143,,,,2020-07-21_16-56-43,267584.132,742.02418,Yes,yes
7/22/2020,,,,,,,,Overcast,1,1,Y,1,1,2,4,0,4,4,4,1,5,20kmh_40m,haphazard,Y,Y,,,1.285714286,1.571428571,2.857142857,2020-07-22_08-57-17,172344.5594,610.6050372,2020-07-22_08-39-10,195092,864.843,,
7/23/2020,,,,,,,,Partly Cloudy,2,4,Y,0,3,3,2,2,4,5,2,3,5,20kmh_40m,HAT,Y,Y,,tags on sharks #1 and #3 in haphazard - may be same individual,1.571428571,1.857142857,3.428571429,2020-07-23_15-33-35 ,172381.854,608.6301322,2020-07-23_15-50-00,298970.5,659.016,,
7/24/2020,,,,,,,,Overcast,1,3,Y,0,0,0,1,1,2,2,1,1,2,20kmh_40m,haphazard,Y,Y,,,1.714285714,2,3.714285714,2020-07-24_08-45-40,172613.3709,677.473158,2020-07-24_08-23-23,293320.7,951.4115,,
7/27/2020,,,,,,,,Sunny,3,4,Y,0,1,1,3,1,4,5,3,2,5,20kmh_40m,HAT,Y,Y,"1 large shark observed after the end of the transect; filmed at 20 and 5m (carrying tag). 3 additional small sharks observed on flight back from end of transect. 2 of these small sharks films both untagged (DJI_0312, DJI_0311).  In haphazard 6 total sharks observed. 2 tagged and observed together in DJI-0314; the other 4 sharks not apparently tagged",,2.142857143,2.142857143,4.285714286,2020-07-27_16-46-45,175016.0703,830.2166389,2020-07-27_17-10-09,232790.2,841.1914,,
7/28/2020,,,,,,,,Overcast,0,3,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,haphazard,Y,Y,,,2,2,4,2020-07-28_09-27-46,172352.1467,580.116306,2020-07-28_09-09-59,432771.6,946.6135,,
7/29/2020,,,,,,,,Sunny,3,4,Y,2,0,2,1,0,1,1,2,0,2,20kmh_40m,HAT,Y,Y,1 out of transect shark on flight out to begin transect (DJI_0323) was untagged - likely same shark filmed a second time on return from transect (DJI_0326);,,2.142857143,2,4.142857143,2020-07-29_17-53-58,174429.821,616.6657437,2020-07-29_18-16-48,262685.3,912.4387,,
7/30/2020,,,,,,,,Sunny,1,5,Y,1,2,3,0,6,6,6,1,6,7,20kmh_40m,haphazard,Y,Y,duplicates likely,multiple sharks with tags (see haphazard videos),1.857142857,1.857142857,3.714285714,2020-07-30_15-19-18,167228.9488,602.202674,2020-07-30_15-01-22,181630.7,450.8821,,
7/31/2020,,,,,,,,Sunny,2,4,Y,0,0,0,4,1,5,6,4,1,5,20kmh_40m,HAT,Y,Y,duplicates likely,,1.857142857,1.857142857,3.714285714,2020-07-31_08-19-23,172434.0653,605.473046,2020-07-31_08-33-34,485484.9,880.719,,
8/3/2020,,,,,,,,Sunny,1,4,Y,0,3,3,0,5,5,6,0,5,5,20kmh_40m,haphazard,N,Y,duplicates likely. airdata issues on transects,multiple sharks with tags. #4 is likely same individual as #1,1.571428571,2.142857143,3.714285714,,,,2020-08-03_15-30-38,421545.1,913.8449,,
8/4/2020,,,,,,,,Overcast,0,3,Y,2,1,3,2,1,3,3,3,1,4,20kmh_40m,HAT,Y,N,haphazard 1 and 3 are the same shark. didn't get video of haphazard 4,,1.857142857,2.142857143,4,2020-08-04_10-12-27,172401.7038,600.9820471,2020-08-04_10-26-35,421141.8,845.9814,Yes,yes
8/5/2020,,,,,,,,Cloudy,2,2,Y,2,1,3,1,1,2,2,2,1,3,20kmh_40m,haphazard,Y,Y,,tags,1.714285714,2,3.714285714,2020-08-05_09-31-18,172381.3145,598.8680221,2020-08-05_09-10-08,502227.1,997.6845,,
8/6/2020,,,,,,,,Partly Cloudy,2,2,Y,3,5,8,3,5,8,8,3,6,9,20kmh_40m,haphazard,Y,N,"definitely duplicates in the haphazard. No duplicates in transect video, but in the field I counted 8 and could only find 7 upon reviewing the footage. Accidentally deleted last video of haphazard flight",tags,2.142857143,2.857142857,5,2020-08-06_15-25-06,172301.7336,606.5292912,2020-08-06_15-00-49,309029.9,884.1168,Yes,yes
8/7/2020,,,,,,,,Partly Cloudy,1,4,Y,1,1,2,3,0,3,3,3,1,4,20kmh_40m,HAT,Y,Y,,,2.285714286,3,5.285714286,2020-08-07_09-38-31,169071.5982,609.5777128,2020-08-07_09-53-59,469591.1,837.1748,,
8/10/2020,,,,,,,,Sunny,3,4,Y,3,1,4,0,3,3,3,3,1,4,20kmh_40m,haphazard,N,Y,airdata split for haphazard,tags,2.571428571,2.285714286,4.857142857,2020-08-10_15-22-02,172477.6356,582.8641006,2020-08-10_15-01-40,320113.6,722.1131,Yes,
8/11/2020,,,,,,,,Overcast,1,3,Y,1,0,1,1,0,1,1,1,0,1,20kmh_40m,HAT,Y,Y,same shark in both flights,,2.142857143,2.142857143,4.285714286,2020-08-11_10-42-27,172336.2827,600.3460301,2020-08-11_10-56-29,512344.1,999.5867,Done,Yes
8/12/2020,,,,,,,,Sunny,2,4,Y,0,1,1,0,2,2,2,0,2,2,20kmh_40m,haphazard,Y,Y,,tags on haphazard 1,2.142857143,1.714285714,3.857142857,2020-08-12_15-04-44,172415.2721,600.1953566,2020-08-12_14-46-35,408414.7,839.683,,
8/13/2020,,,,,,,,Partly Cloudy,0,4,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,HAT,Y,Y,,,1.714285714,1.571428571,3.285714286,2020-08-13_09-09-15,172347.9689,600.1393428,2020-08-13_09-23-50,378484.1,1078.517,,
8/14/2020,,,,,,,,Sunny,1,4,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,haphazard,Y,Y,,,1.428571429,1.428571429,2.857142857,2020-08-14_15-09-54,172422.4891,602.202002,2020-08-14_14-53-24,469965.1,851.1232,,
8/17/2020,,,,,,,,Cloudy,2,2,Y,2,0,2,4,3,7,7,4,3,7,20kmh_40m,HAT,Y,Y,,shark 1 in haphazard has white mark on right side near nose,1.571428571,1,2.571428571,2020-08-17_14-31-15,172404.567,602.9471064,2020-08-17_14-47-45,308132.2,823.1127,,
8/18/2020,,,,,,,,Partly Cloudy,0,4,Y,0,1,1,2,0,2,2,2,1,3,20kmh_40m,haphazard,Y,Y,,,1.428571429,1,2.428571429,2020-08-18_08-02-54,172359.8295,600.9110609,2020-08-18_07-43-22,467066.1,912.8121,,
8/19/2020,,,,,,,,Sunny,1,3,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,HAT,Y,Y,,,1,0.8571428571,1.857142857,2020-08-19_08-08-33,172338.2183,601.737595,2020-08-19_08-26-53,455180.1,834.3144,,
8/20/2020,,,,,,,,Sunny,1,4,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,Haphazard,Y,Y,,,0.8571428571,0.8571428571,1.714285714,2020-08-20_09-36-31,171882.5352,609.2809777,2020-08-20_09-17-56,421479.3,839.0352,,
8/21/2020,,,,,,,,Overcast,1,3,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,HAT,Y,Y,,,0.8571428571,0.5714285714,1.428571429,2020-08-21_08-41-03,172393.5953,668.5880593,2020-08-21_08-58-39,585873.2,977.994,,
8/24/2020,,,,,,,,,2,3,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,HAT,Y,Y,outer transect leg cut short due to insufficient battery,,0.8571428571,0.5714285714,1.428571429,2020-08-24_16-34-46,176128.5899,654.826484,2020-08-24_16-53-42,398230.1,1044.677,,
8/25/2020,,,,,,,,Sunny,2,4,Y,0,2,2,0,2,2,3,0,3,3,20kmh_40m,Haphazard,Y,Y,,,0.8571428571,1,1.857142857,2020-08-25_15-18-47,172406.5002,601.9071502,2020-08-25_14-59-50,444256.6,793.4579,,
8/26/2020,,,,,,,,Overcast,2,1,Y,0,0,0,1,0,1,1,1,0,1,20kmh_40m,HAT,Y,Y,,tagged,0.4285714286,0.5714285714,1,2020-08-26_09-45-42,172358.6387,601.9201045,2020-08-26_10-03-43,468309.4,997.6246,,
8/27/2020,,,,,,,,Sunny,2,2,Y,1,4,5,2,3,5,5,2,5,7,20kmh_40m,Haphazard,Y,Y,,,0.4285714286,1.142857143,1.571428571,2020-08-27_15-13-40,172403.8029,599.1680662,2020-08-27_14-52-44,490081.6,868.1328,Done,Yes
8/28/2020,,,,,,,,Overcast,2,1,Y,1,2,3,6,1,7,7,6,2,8,20kmh_40m,HAT,Y,Y,,,1.285714286,1.428571429,2.714285714,2020-08-28_09-31-40,172371.7716,604.0400604,2020-08-28_09-45-51,431333.8,816.72,,
8/31/2020,,,,,,,,Sunny,1,4,Y,2,0,2,6,3,9,9,6,3,9,20kmh_40m,Haphazard,Y,Y,"amazing vis, lots of rays",tags,2.142857143,1.857142857,4,2020-08-31_14-58-23,172353.8911,603.1821028,2020-08-31_14-36-56,450791.7,791.6092,Done,Yes
9/1/2020,,,,,,,,Sunny,1,2,Y,4,2,6,6,2,8,8,6,4,10,20kmh_40m,HAT,Y,Y,increased speed on outer due to low battery,,3,2.428571429,5.428571429,2020-09-01_13-36-32,172318.2866,576.5650555,2020-09-01_13-49-49,404134.8,850.0281,Yes,
9/2/2020,,,,,,,,Overcast,1,3,Y,3,0,3,3,2,5,5,3,2,5,20kmh_40m,Haphazard,Y,Y,,tags,3.428571429,2.714285714,6.142857143,2020-09-02_08-16-09,171528.5554,601.2913425,2020-09-02_07-55-28,483254,917.1039,,
9/3/2020,,,,,,,,Sunny,0,4,Y,0,5,5,1,1,2,2,1,5,6,20kmh_40m,HAT,Y,Y,cut haphazard short due to boats & drones,,3.571428571,3,6.571428571,2020-09-03_08-40-51,172423.2822,600.4572114,2020-09-03_08-56-48,397054.8,745.099,Yes,
9/8/2020,,,,,,,,Overcast,2,3,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,HAT,Y,Y,totally overcast due to smoke from fires creating poor light conditions and grey haze on water,,3.428571429,3,6.428571429,2020-09-08_17-50-27,172388.2396,610.5990268,2020-09-08_18-09-08,317454.9,1046.974,,
9/9/2020,,,,,,,,Overcast,2,2,N,0,0,0,NA,NA,NA,NA,0,0,0,20kmh_40m,HAT,Y,Y,totally overcast due to smoke from fires creating poor light conditions and grey haze on water. Also had AM and PM fog. Conditions prevented doing HAP survey. Only transect flown and note visibility was acceptable but bad throughout the flight with some periods obscurred by fog. Consider not including in any statistics,,3.142857143,2.285714286,5.428571429,2020-09-09_17-05-24,172417.9255,610.8721808,2020-09-09_16-51-59,16013.07,90.61401,,
9/10/2020,,,,,,,,Overcast,1,1,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,Haphazard,Y,Y,totally overcast due to smoke from fires creating poor light conditions and grey haze on water,,2.285714286,2,4.285714286,2020-09-10_16-50-35,172414.0767,611.2700876,2020-09-10_16-28-47,314897.5,1149.905,,
9/11/2020,,,,,,,,Overcast,2,3,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,HAT,Y,Y,totally overcast due to smoke from fires creating poor light conditions and grey haze on water,,1.428571429,1.571428571,3,2020-09-11_16-50-43,172417.0246,613.8450397,2020-09-11_17-08-44,293862.5,1172.848,,
9/14/2020,,,,,,,,Overcast,1,2,Y,1,0,1,1,1,2,2,2,1,3,20kmh_40m,Haphazard,,,"hazy and poor light from smoke, but brighter than previous days. large schools of baitfish visible as dark forms and some splashing of baitfish at surface above schools. 1 pelican observed diving on baitfish prior to survey start.",both sharks in haphazard tagged; ,0.8571428571,1.142857143,2,2020-09-14_17-07-38,172420.8846,613.5468733,2020-09-14_16-44-43,326182.8,1117.701,,
9/15/2020,,,,,,,,Overcast,1,2,Y,2,0,2,6,1,7,7,6,1,7,20kmh_40m,HAT,,,"hazy and poor light from smoke, but brighter than previous days. large schools of baitfish visible as dark forms and some splashing of baitfish at surface above schools. max in view in one clip of 3 sharks triangulating around baitfish school. did a 3rd flight - ie.. a second haphazard flight. This 3rd flight was not included in unique shark estimates for haphazard (and should not be included in effort standardization) but used to collect more low altitude video to determine if sharks were tagged/untagged",,1.285714286,1,2.285714286,2020-09-15_15-59-25,173765.5167,904.1991817,2020-09-15_16-21-51,148315.5,809.4954,,
9/16/2020,,,,,,,,Overcast,1,3,Y,1,1,2,1,2,3,3,1,3,4,20kmh_40m,Haphazard,Y,Y,"uniformly hazy, but less thick than previous days and more sun penetration. no more schools of baitfish visible",both tagged and untagged individuals,1.285714286,0.7142857143,2,2020-09-16_17-27-12,173863.6712,652.4905563,2020-09-15_16-44-53,147298.6,695.0029,Yes,
9/17/2020,,,,,,,,Partly Cloudy,1,4,Y,0,4,4,0,3,3,4,0,5,5,20kmh_40m,Haphazard,Y,Y,,,1.285714286,1.428571429,2.714285714,2020-09-17_15-05-33,172359.2402,603.3790853,2020-09-16_17-05-55,306267.1,846.905,Yes,
9/18/2020,,,,,,,,Partly Cloudy,2,3,Y,3,3,6,5,1,6,7,5,3,8,20kmh_40m,HAT,Y,Y,,,2,1.857142857,3.857142857,2020-09-18_11-09-34,172339.6435,602.3599956,2020-09-17_14-45-34,525117.8,881.651,Done,Yes
9/21/2020,,,,,,,,Overcast,0,2,Y,3,0,3,3,0,3,3,4,0,4,20kmh_40m,Haphazard,Y,Y,,,2.571428571,1.857142857,4.428571429,2020-09-21_09-27-20,172426.5661,612.4890118,2020-09-18_11-23-24,357359.8,667.5919,Yes,
9/22/2020,,,,,,,,Overcast,1,3,Y,1,0,1,3,0,3,3,3,0,3,20kmh_40m,HAT,Y,Y,,,3,1.857142857,4.857142857,2020-09-22_08-17-39,172422.0142,600.1810062,2020-09-21_09-10-54,439097.2,703.5804,,
9/23/2020,,,,,,,,Sunny,1,3,Y,0,0,0,6,2,8,8,6,2,8,20kmh_40m,HAT,Y,Y,,,3.571428571,2,5.571428571,2020-09-23_14-35-48,172417.6623,582.4001482,2020-09-22_08-31-04,527375.3,836.1955,,
9/24/2020,,,,,,,,Cloudy,2,2,Y,DNF,DNF,DNF,1,0,1,1,1,0,1,20kmh_40m,Haphazard,Y,Y,cut haphazard short and dnf HAT due to fog,,2.857142857,1.857142857,4.714285714,,,,2020-09-23_14-54-24,212149,712.1247,,
9/25/2020,,,,,,,,Cloudy,1,3,Y,0,0,0,1,0,1,1,1,0,1,20kmh_40m,Haphazard,Y,Y,,,2.857142857,1.428571429,4.285714286,,,,2020-09-23_15-18-20,144352.8,670.8786,,
9/28/2020,,,,,,,,Overcast,2,1,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,HAT,Y,Y,first day Doug taking over flying from John. many dolphins. poor light visibility,,2.857142857,0.7142857143,3.571428571,2020-09-28_15-50-28,172425.0867,613.9230658,2020-09-24_10-28-07,227199.5,393.4072,,
9/29/2020,,,,,,,,Overcast,1,1,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,Haphazard,Y,Y,very little light/sun penetrating through marine layer. many dolphins. some small bait schools,,2.142857143,0.2857142857,2.428571429,2020-09-29_10-17-50,172394.1256,611.8963407,2020-09-25_09-01-04,467008.8,724.7752,,
9/30/2020,,,,,,,,Partly Cloudy,2,4,Y,0,0,0,0,1,1,1,0,1,1,20kmh_40m,HAT,Y,Y,1 harbor seal observed before transect. ,large shark was tagged,1.571428571,0.4285714286,2,2020-09-30_10-32-50,172431.3335,582.2982488,2020-09-28_16-10-24,356880.2,1075.793,,
10/1/2020,,,,,,,,Partly Cloudy,1,2,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,Haphazard,Y,Y,haze resulted in oily look to water surface. scatted bait schools observed,,1.142857143,0.4285714286,1.571428571,2020-10-01_09-16-07,172397.5437,611.0869863,2020-09-29_09-55-30,383110.1,1212.946,,
10/2/2020,,,,,,,,Partly Cloudy,0,4,Y,0,0,0,2,4,6,7,2,4,6,20kmh_40m,HAT,Y,Y,fire smoke resulted in hazy conditions. no wind. numerous bait schools. 1 harbor seal. 2 boaters watching for sharks. Footage of boater following shark including commercial gill net fisherman. Esimated 3-4 unique small sharks,multiple tagged sharks,0.5714285714,0.7142857143,1.285714286,2020-10-02_16-13-36,172413.9925,616.0940776,2020-09-30_10-50-48,373462.3,1167.579,,
10/5/2020,,,,,,,,Partly Cloudy,1,4,Y,0,2,2,0,3,2,2,0,3,3,20kmh_40m,HAT,Y,Y,,,0.4285714286,1.142857143,1.571428571,2020-10-05_16-13-25,172420.0049,615.3231567,2020-10-01_08-54-32,389461.2,1078.492,,
10/6/2020,,,,,,,,Cloudy,0,2,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,Haphazard,Y,Y,,,0.2857142857,1.142857143,1.428571429,2020-10-06_09-25-53,172440.9,609.0001697,2020-10-02_16-32-47,276802.4,857.9235,,
10/7/2020,,,,,,,,Sunny,1,3,Y,1,0,1,1,0,1,1,2,0,2,20kmh_40m,HAT,Y,Y,"haze resulted in oily look to water surface, 2 harbor seals, shark with entire missing pectoral",,0.5714285714,1.142857143,1.714285714,2020-10-07_16-19-56,172402.2978,615.2110364,2020-10-05_16-32-51,199345.8,528.4332,,
10/8/2020,,,,,,,,Partly Cloudy,2,3,Y,2,0,2,1,0,1,1,3,0,3,20kmh_40m,Haphazard,Y,Y,"slightly windy, water pretty murky hard to see, possibly only 2 individuals, hard to tell",,1,1.142857143,2.142857143,2020-10-08_16-14-53,172901.3517,623.6746778,2020-10-06_09-04-59,501390.8,1149.575,Done,Yes
10/9/2020,,,,,,,,Overcast,1,1,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,HAT,Y,Y,"water murky, not the greatest visibility",,1,1,2,2020-10-09_09-33-15,172437.4377,612.5490913,2020-10-07_16-55-56,267826.1,908.1219,Done,No sharks
10/12/2020,,,,,,,,Sunny,0,5,Y,1,0,1,2,1,3,3,3,1,4,20kmh_40m,HAT,Y,Y,"ran the manual flight a little later than directly after trans, I had to charge the ipad in my car, 2 harbor seals spotted, in begining took video of two sharks circling one another",,1.428571429,1.142857143,2.571428571,2020-10-12_10-17-13,174506.1974,905.3116257,2020-10-08_15-53-47,137479.1,700.6017,,
10/13/2020,,,,,,,,Sunny,1,4,Y,0,0,0,2,0,2,2,2,0,2,20kmh_40m,Haphazard,Y,Y*,"for some reason most of the manual flight did not record only have the last minute of it, 2 small sharks were spotted during this manual, 1 harbor seal spotted",,1.428571429,0.5714285714,2,2020-10-13_11-13-17,172706.3183,617.602044,2020-10-09_09-54-47,140841.6,548.7476,,
10/14/2020,,,,,,,,Sunny,1,3,N,0,0,0,0,0,0,0,0,0,0,20kmh_40m,Haphazard,Y,Y,,,1.428571429,0.1428571429,1.571428571,2020-10-14_17-11-01,172390.1611,614.8892921,2020-10-12_11-15-28,172642.9,383.4606,,
10/15/2020,,,,,,,,Sunny,1,5,Y,0,0,0,0,1,1,1,0,1,1,20kmh_40m,HAT,Y,Y,pod of dolphins right in the beginning of the transect,,1.428571429,0.2857142857,1.714285714,2020-10-15_09-51-22,172702.0315,616.0106745,2020-10-13_10-57-41,303332.7,673.7314,,
